Date,HIGH_T,LOW_T,PRECIP,BB_COUNT
4/1/2017,46,37,0,606
4/2/2017,62.1,41,0,2021
4/3/2017,63,50,0.03,2470
4/4/2017,51.1,46,1.18,723
4/5/2017,63,46,0,2807
4/6/2017,48.9,41,0.73,461
4/7/2017,48,43,0.01,1222
4/8/2017,55.9,39.9,0,1674
4/9/2017,66,45,0,2375
4/10/2017,73.9,55,0,3324
4/11/2017,80.1,62.1,0,3887
4/12/2017,73.9,57.9,0.02,2565
4/13/2017,64,48.9,0,3353
4/14/2017,64.9,48.9,0,2942
4/15/2017,64.9,52,0,2253
4/16/2017,84.9,62.1,0.01,2877
4/17/2017,73.9,64,0.01,3152
4/18/2017,66,50,0,3415
4/19/2017,52,45,0.01,1965
4/20/2017,64.9,50,0.17,1567
4/21/2017,53.1,48,0.29,1426
4/22/2017,55.9,52,0.11,1318
4/23/2017,64.9,46.9,0,2520
4/24/2017,60.1,50,0.01,2544
4/25/2017,54,50,0.91,611
4/26/2017,59,54,0.34,1247
4/27/2017,68,59,0,2959
4/28/2017,82.9,57.9,0,3679
4/29/2017,84,64,0.06,3315
4/30/2017,64,54,0,2225
5/1/2017,72,50,0,3084
5/2/2017,73.9,66.9,0,3423
5/3/2017,64.9,57.9,0,3342
5/4/2017,63,50,0,3019
5/5/2017,59,52,3.02,513
5/6/2017,64.9,57,0.18,1892
5/7/2017,54,48.9,0.01,3539
5/8/2017,57,45,0,2886
5/9/2017,61,48,0,2718
5/10/2017,70,51.1,0,2810
5/11/2017,61,51.8,0,2657
5/12/2017,62.1,51.1,0,2640
5/13/2017,51.1,45,1.31,151
5/14/2017,64.9,46,0.02,1452
5/15/2017,66.9,55.9,0,2685
5/16/2017,78.1,57.9,0,3666
5/17/2017,90,66,0,3535
5/18/2017,91.9,75,0,3190
5/19/2017,90,75.9,0,2952
5/20/2017,64,55.9,0.01,2161
5/21/2017,66.9,55,0,2612
5/22/2017,61,54,0.59,768
5/23/2017,68,57.9,0,3174
5/24/2017,66.9,57,0.04,2969
5/25/2017,57.9,55.9,0.58,488
5/26/2017,73,55.9,0.1,2590
5/27/2017,71.1,61,0,2609
5/28/2017,71.1,59,0,2640
5/29/2017,57.9,55.9,0.13,836
5/30/2017,59,55.9,0.06,2301
5/31/2017,75,57.9,0.03,2689
6/1/2017,78.1,62.1,0,3468
6/2/2017,73.9,60.1,0.01,3271
6/3/2017,72,55,0.01,2589
6/4/2017,68,60.1,0.09,1805
6/5/2017,66.9,60.1,0.02,2171
6/6/2017,55.9,53.1,0.06,1193
6/7/2017,66.9,54,0,3211
6/8/2017,68,59,0,3253
6/9/2017,80.1,59,0,3401
6/10/2017,84,68,0,3066
6/11/2017,90,73,0,2465
6/12/2017,91.9,77,0,2854
6/13/2017,93.9,78.1,0.01,2882
6/14/2017,84,69.1,0.29,2596
6/15/2017,75,66,0,3510
6/16/2017,68,66,0,2054
6/17/2017,73,66.9,1.39,1399
6/18/2017,84,72,0.01,2199
6/19/2017,87.1,70,1.35,1648
6/20/2017,82,72,0.03,3407
6/21/2017,82,72,0,3304
6/22/2017,82,70,0,3368
6/23/2017,82.9,75.9,0.04,2283
6/24/2017,82.9,71.1,1.29,2307
6/25/2017,82,69.1,0,2625
6/26/2017,78.1,66,0,3386
6/27/2017,75.9,61,0.18,3182
6/28/2017,78.1,62.1,0,3766
6/29/2017,81,68,0,3356
6/30/2017,88,73.9,0.01,2687
7/1/2017,84.9,72,0.23,1848
7/2/2017,87.1,73,0,2467
7/3/2017,87.1,71.1,0.45,2714
7/4/2017,82.9,70,0,2296
7/5/2017,84.9,71.1,0,3170
7/6/2017,75,71.1,0.01,3065
7/7/2017,79,68,1.78,1513
7/8/2017,82.9,70,0,2718
7/9/2017,81,69.1,0,3048
7/10/2017,82.9,71.1,0,3506
7/11/2017,84,75,0,2929
7/12/2017,87.1,77,0,2860
7/13/2017,89.1,77,0,2563
7/14/2017,69.1,64.9,0.35,907
7/15/2017,82.9,68,0,2853
7/16/2017,84.9,70,0,2917
7/17/2017,84.9,73.9,0,3264
7/18/2017,87.1,75.9,0,3507
7/19/2017,91,77,0,3114
7/20/2017,93,78.1,0.01,2840
7/21/2017,91,77,0,2751
7/22/2017,91,78.1,0.57,2301
7/23/2017,78.1,73,0.06,2321
7/24/2017,69.1,63,0.74,1576
7/25/2017,71.1,64,0,3191
7/26/2017,75.9,66,0,3821
7/27/2017,77,66.9,0.01,3287
7/28/2017,84.9,73,0,3123
7/29/2017,75.9,68,0,2074
7/30/2017,81,64.9,0,3331
7/31/2017,88,66.9,0,3560
8/1/2017,91,72,0,3492
8/2/2017,86,69.1,0.09,2637
8/3/2017,86,70,0,3346
8/4/2017,82.9,70,0.15,2400
8/5/2017,77,70,0.3,3409
8/6/2017,75.9,64,0,3130
8/7/2017,71.1,64.9,0.76,804
8/8/2017,77,66,0,3598
8/9/2017,82.9,66,0,3893
8/10/2017,82.9,69.1,0,3423
8/11/2017,81,70,0.01,3148
8/12/2017,75.9,64.9,0.11,4146
8/13/2017,82,71.1,0,3274
8/14/2017,80.1,70,0,3291
8/15/2017,73,69.1,0.45,2149
8/16/2017,84.9,70,0,3685
8/17/2017,82,71.1,0,3637
8/18/2017,81,73,0.88,1064
8/19/2017,84.9,73,0,4693
8/20/2017,81,70,0,2822
8/21/2017,84.9,73,0,3088
8/22/2017,88,75,0.3,2983
8/23/2017,80.1,71.1,0.01,2994
8/24/2017,79,66,0,3688
8/25/2017,78.1,64,0,3144
8/26/2017,77,62.1,0,2710
8/27/2017,77,63,0,2676
8/28/2017,75,63,0,3332
8/29/2017,68,62.1,0.1,1472
8/30/2017,75.9,61,0.01,3468
8/31/2017,81,64,0,3279
9/1/2017,70,55,0,2945
9/2/2017,66.9,54,0.53,1876
9/3/2017,69.1,60.1,0.74,1004
9/4/2017,79,62.1,0,2866
9/5/2017,84,70,0.01,3244
9/6/2017,70,62.1,0.42,1232
9/7/2017,71.1,59,0.01,3249
9/8/2017,70,59,0,3234
9/9/2017,69.1,55,0,2609
9/10/2017,72,57,0,4960
9/11/2017,75.9,55,0,3657
9/12/2017,78.1,61,0,3497
9/13/2017,82,64.9,0.06,2994
9/14/2017,81,70,0.02,3013
9/15/2017,81,66.9,0,3344
9/16/2017,82,70,0,2560
9/17/2017,80.1,70,0,2676
9/18/2017,73,69.1,0,2673
9/19/2017,78.1,69.1,0.22,2012
9/20/2017,78.1,71.1,0,3296
9/21/2017,80.1,71.1,0,3317
9/22/2017,82,66,0,3297
9/23/2017,86,68,0,2810
9/24/2017,90,69.1,0,2543
9/25/2017,87.1,72,0,3276
9/26/2017,82,69.1,0,3157
9/27/2017,84.9,71.1,0,3216
9/28/2017,78.1,66,0,3421
9/29/2017,66.9,55,0,2988
9/30/2017,64,55.9,0,1903
10/1/2017,66.9,50,0,2297
10/2/2017,72,52,0,3387
10/3/2017,70,57,0,3386
10/4/2017,75,55.9,0,3412
10/5/2017,82,64.9,0,3312
10/6/2017,81,69.1,0,2982
10/7/2017,80.1,66,0,2750
10/8/2017,77,72,0.22,1235
10/9/2017,75.9,72,0.26,898
10/10/2017,80.1,66,0,3922
10/11/2017,75,64.9,0.06,2721
10/12/2017,63,55.9,0.07,2411
10/13/2017,64.9,52,0,2839
10/14/2017,71.1,62.1,0.08,2021
10/15/2017,72,66,0.01,2169
10/16/2017,60.1,52,0.01,2751
10/17/2017,57.9,43,0,2869
10/18/2017,71.1,50,0,3264
10/19/2017,70,55.9,0,3265
10/20/2017,73,57.9,0,3169
10/21/2017,78.1,57,0,2538
10/22/2017,75.9,57,0,2744
10/23/2017,73.9,64,0,3189
10/24/2017,73,66.9,0.2,954
10/25/2017,64.9,57.9,0,3367
10/26/2017,57,53.1,0,2565
10/27/2017,62.1,48,0,3150
10/28/2017,68,55.9,0,2245
10/29/2017,64.9,61,3.03,183
10/30/2017,55,46,0.25,1428
10/31/2017,54,44,0,2727
